model,task,n_responses,mean_length,std_length,cv_length,mean_tokens,std_tokens,cv_tokens
GPT-4o-mini,gsm8k,3000,817.8,297.3,0.3635,237.7,92.3,0.3881
GPT-4o-mini,bbh_date,3000,675.5,274.5,0.4064,219.5,84.1,0.3831
GPT-4o-mini,mmlu_pro,3000,1396.7,572.3,0.4097,357.1,142.3,0.3986
GPT-4o,gsm8k,3000,851.2,278.3,0.327,240.5,79.4,0.3303
GPT-4o,bbh_date,3000,600.7,333.9,0.5558,192.5,103.9,0.5399
GPT-4o,mmlu_pro,3000,1348.2,632.4,0.469,341.8,153.6,0.4494
Claude Haiku 4.5,gsm8k,3000,555.0,186.8,0.3366,175.5,55.9,0.3185
Claude Haiku 4.5,bbh_date,3000,691.2,300.4,0.4346,237.6,97.7,0.4113
Claude Haiku 4.5,mmlu_pro,2387,1374.4,479.1,0.3486,362.2,84.9,0.2343
DeepSeek V4 Pro,gsm8k,3000,781.3,276.5,0.3539,225.1,76.7,0.3407
DeepSeek V4 Pro,bbh_date,3000,641.8,275.6,0.4294,209.1,83.1,0.3976
DeepSeek V4 Pro,mmlu_pro,3000,1283.4,486.9,0.3794,330.6,117.6,0.3556
Gemma 4 31B,gsm8k,3000,615.9,232.8,0.378,194.0,69.7,0.3594
Gemma 4 31B,bbh_date,3000,591.3,265.2,0.4486,195.5,84.7,0.4333
Gemma 4 31B,mmlu_pro,3000,1159.5,453.2,0.3909,308.4,114.4,0.371
