run,system_role,persona,few_shot,cot_trigger,output_format,constraints,accuracy
1,-,-,-,-,-,-,0.930
2,+,-,-,-,-,-,0.925
3,-,+,-,-,-,-,0.690
4,+,+,-,-,-,-,0.755
5,-,-,+,-,-,-,0.950
6,+,-,+,-,-,-,0.925
7,-,+,+,-,-,-,0.900
8,+,+,+,-,-,-,0.910
9,-,-,-,+,-,-,0.915
10,+,-,-,+,-,-,0.865
11,-,+,-,+,-,-,0.645
12,+,+,-,+,-,-,0.735
13,-,-,+,+,-,-,0.935
14,+,-,+,+,-,-,0.925
15,-,+,+,+,-,-,0.900
16,+,+,+,+,-,-,0.925
17,-,-,-,-,+,-,0.950
18,+,-,-,-,+,-,0.935
19,-,+,-,-,+,-,0.935
20,+,+,-,-,+,-,0.940
21,-,-,+,-,+,-,0.935
22,+,-,+,-,+,-,0.925
23,-,+,+,-,+,-,0.940
24,+,+,+,-,+,-,0.925
25,-,-,-,+,+,-,0.950
26,+,-,-,+,+,-,0.945
27,-,+,-,+,+,-,0.940
28,+,+,-,+,+,-,0.950
29,-,-,+,+,+,-,0.945
30,+,-,+,+,+,-,0.925
31,-,+,+,+,+,-,0.930
32,+,+,+,+,+,-,0.940
33,-,-,-,-,-,+,0.915
34,+,-,-,-,-,+,0.895
35,-,+,-,-,-,+,0.725
36,+,+,-,-,-,+,0.750
37,-,-,+,-,-,+,0.925
38,+,-,+,-,-,+,0.945
39,-,+,+,-,-,+,0.825
40,+,+,+,-,-,+,0.840
41,-,-,-,+,-,+,0.860
42,+,-,-,+,-,+,0.840
43,-,+,-,+,-,+,0.805
44,+,+,-,+,-,+,0.855
45,-,-,+,+,-,+,0.925
46,+,-,+,+,-,+,0.920
47,-,+,+,+,-,+,0.865
48,+,+,+,+,-,+,0.910
49,-,-,-,-,+,+,0.940
50,+,-,-,-,+,+,0.930
51,-,+,-,-,+,+,0.930
52,+,+,-,-,+,+,0.930
53,-,-,+,-,+,+,0.925
54,+,-,+,-,+,+,0.930
55,-,+,+,-,+,+,0.945
56,+,+,+,-,+,+,0.925
57,-,-,-,+,+,+,0.950
58,+,-,-,+,+,+,0.950
59,-,+,-,+,+,+,0.945
60,+,+,-,+,+,+,0.950
61,-,-,+,+,+,+,0.925
62,+,-,+,+,+,+,0.930
63,-,+,+,+,+,+,0.940
64,+,+,+,+,+,+,0.925
